tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,tagline,overview,cast_names,cast_ids,release_year
9796,Turistas,2006-12-01,Horror|Thriller,10000000,14652825,93,2.5862,5.474,881,en,There are some places tourists should never go,A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.,Josh Duhamel|Melissa George|Olivia Wilde|Desmond Askew|Beau Garrett,19536|27755|59315|59284|20403,2006
9801,Bridget Jones: The Edge of Reason,2004-11-10,Comedy|Romance,40000000,265126918,108,2.6672,6.228,3012,en,Big Liar. Big Lawyer. Big Dilemma.,"Bridget Jones is still dating her new love, barrister Mark Darcy, for a perfect six weeks. However, while on assignment in Thailand with her disreputable ex, Daniel Cleaver, claiming to be reformed, Bridget questions if she has everything she's ever dreamed of having.",Renée Zellweger|Colin Firth|Hugh Grant|Jacinda Barrett|Jim Broadbent,9137|5472|3291|6857|388,2004
9806,The Incredibles,2004-10-27,Action|Adventure|Animation|Family,92000000,631442092,115,12.0027,7.722,18764,en,Save the day.,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",Craig T. Nelson|Holly Hunter|Sarah Vowell|Spencer Fox|Jason Lee,8977|18686|59361|59360|11662,2004
534094,In Like Flynn,2018-07-07,Comedy|Action|Adventure,20000000,0,95,1.8976,4.9,58,en,Legend. Adventurer. Lover. Star.,"A mostly true account of future Hollywood star Errol Flynn's sea adventures in the early thirties, sailing from Australia to Papua in search of gold, along with his best friend Rex, a former Canadian smuggler; Dook, a handy English gentleman; and Charlie, a grumpy old sailor.",Thomas Cocquerel|Corey Large|Clive Standen|William Moseley|David Hennessey,1263515|77109|85977|5528|1677341,2018
9809,Let's Go to Prison,2006-11-17,Comedy|Crime,4000000,4630045,89,1.797,5.767,326,en,Welcome to the slammer,"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",Dax Shepard|Will Arnett|Chi McBride|David Koechner|Dylan Baker,51298|21200|8687|28638|19152,2006
9813,The Quiet,2005-09-12,Drama|Thriller,900000,381420,96,2.2955,6.12,284,en,Isn't it time everyone hears your secrets?,"After her widowed father dies, deaf teenager Dot moves in with her godparents, Olivia and Paul Deer. The Deers' daughter, Nina, is openly hostile to Dot, but that does not prevent her from telling her secrets to her silent stepsister, including the fact that she wants to kill her lecherous father.",Elisha Cuthbert|Camilla Belle|Martin Donovan|Edie Falco|Shawn Ashmore,25837|38670|42993|36190|11023,2005
9815,Goal II: Living the Dream,2007-02-09,Drama,10000000,7864905,115,2.2523,5.961,688,en,This time the dream is real.,"Tempted away from Newcastle United to join Real Madrid, rising star Santiago Munez finds this latest change of fortune the greatest challenge yet - personally as well as professionally. He is reunited with Gavin Harris, though they must compete to be on the team, and estranged from fiancee Roz, whose nursing career keeps her back home.",Kuno Becker|Stephen Dillane|Anna Friel|Leonor Varela|Elizabeth Peña,58982|8435|58016|10839|7430,2007
9816,Save the Last Dance,2001-01-12,Drama|Family|Romance|Music,13000000,131706809,113,1.8286,6.5,1345,en,The only person you need to be is yourself.,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.",Julia Stiles|Sean Patrick Thomas|Kerry Washington|Fredro Starr|Terry Kinney,12041|11868|11703|59568|11067,2001
271969,Ben-Hur,2016-08-17,Action|History|Adventure|Drama,100000000,94061311,125,3.9747,5.772,1769,en,Brother against brother. Slave against empire.,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,Jack Huston|Toby Kebbell|Rodrigo Santoro|Morgan Freeman|Nazanin Boniadi,54738|20286|17289|192|142213,2016
9828,Unknown,2006-11-03,Mystery|Thriller,3700000,3419456,85,2.113,6.244,454,en,,Five men wake up in a locked-down warehouse with no memory of who they are. They are forced to figure out who is good and who is bad to stay alive.,Jim Caviezel|Greg Kinnear|Bridget Moynahan|Joe Pantoliano|Barry Pepper,8767|17141|18354|532|12834,2006
9829,United 93,2006-04-28,Drama|History|Crime|Thriller|Action,15000000,76300000,111,2.6823,7.107,1620,en,"September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.","A real-time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",J.J. Johnson|Gary Commock|Polly Adams|Opal Alladin|Starla Benford,2307357|59685|47538|59686|59687,2006
9833,The Phantom of the Opera,2004-12-08,Thriller|Drama|Romance,70000000,154674241,141,4.3094,7.265,1756,en,Let the fantasy begin.,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opera House.,Gerard Butler|Emmy Rossum|Patrick Wilson|Miranda Richardson|Minnie Driver,17276|4730|17178|8436|6613,2004
9836,Happy Feet,2006-11-16,Animation|Comedy|Family,100000000,384335608,108,5.1272,6.22,5423,en,WARNING: May Cause Toe-Tapping.,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",Elijah Wood|Robin Williams|Brittany Murphy|Hugh Jackman|Nicole Kidman,109|2157|328|6968|2227,2006
9839,Beyond Borders,2003-10-23,Drama|Romance|Adventure|War,35000000,0,127,1.3045,6.412,434,en,Where hope survives.,"Sarah Jordan, an American living in London in 1984, is married to the son of a wealthy British industrialist. She encounters Nick Callahan, a renegade doctor, whose impassioned plea for help to support his relief efforts in war-torn Africa moves her deeply. As a result, Sarah embarks upon a journey of discovery that leads to danger, heartbreak and romance in the far corners of the world.",Angelina Jolie|Clive Owen|Teri Polo|Linus Roache|Noah Emmerich,11701|2296|10399|3900|11315,2003
9870,Forgetting Sarah Marshall,2008-04-17,Comedy|Romance|Drama,30000000,105173115,111,3.3143,6.504,3651,en,"You lose some, you get some.","When actress Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend Brian suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful receptionist Rachel Jansen, Peter is shocked to see not only Aldous in Hawaii, but also Sarah.",Jason Segel|Kristen Bell|Mila Kunis|Russell Brand|Bill Hader,41088|40462|18973|59919|19278,2008
