tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm,budget_adj,revenue_adj,est_profit_adj,profit_margin,revenue_ratio,actor_prestige_score,prestige_tier,budget_tier,outcome_label,release_window,marketing_ratio,est_marketing_budget
13969,First Daughter,2004-09-24,2004,9,Family|Comedy|Drama|Romance,Family,Katie Holmes|Marc Blucas|Amerie|Michael Keaton|Margaret Colin,3897|46772|1190676|2232|8985,30000000.0,10592180.0,105,4.201,6.161,995,7.698918502642759,7.246782601187078,0.04167534903104814,0.0036211568508031163,49994071.0,17651540.0,-69838084.25,-0.7982441900817742,0.353,7.864062051956483,Unknown,Low,Flop,Off-season,0.75,22500000.0
210577,Gone Girl,2014-10-01,2014,10,Mystery|Thriller|Drama,Mystery,Ben Affleck|Rosamund Pike|Neil Patrick Harris|Tyler Perry|Carrie Coon,880|10882|41686|80602|1308445,61000000.0,370890259.0,149,19.9755,7.89,19810,7.909160780520295,8.693076374916055,0.10627214002917273,0.12685471452168925,81126134.0,493260541.0,363458726.6,2.800105131658314,6.08,8.098637436623706,Established,Mid,Blockbuster,Off-season,0.6,36600000.0
13971,Wild Child,2008-08-15,2008,8,Comedy|Drama|Romance,Comedy,Emma Roberts|Alex Pettyfer|Natasha Richardson|Kimberley Nixon|Juno Temple,34847|61363|20162|124828|36594,20000000.0,22000000.0,98,4.629,6.705,1909,7.466015166895891,7.50740785880478,0.02083767451552407,0.007522999035948623,29242545.0,32166800.0,-19007653.75,-0.3714285616580714,1.1,8.028172433540982,Rising,Low,Flop,Summer,0.75,15000000.0
13972,The Women,2008-09-12,2008,9,Drama|Comedy,Drama,Meg Ryan|Annette Bening|Debra Messing|Jada Pinkett Smith|Eva Mendes,5344|516|23959|9575|8170,16000000.0,50007546.0,114,2.1566,5.118,360,7.369105153887835,7.864020716054979,0.012502604709314441,0.017102482625732062,23394036.0,73117396.0,32177833.0,0.7859837927434643,3.125,7.871754404338599,Unknown,Low,Hit,Off-season,0.75,12000000.0
14001,Dead Silence,2007-03-16,2007,3,Horror,Horror,Ryan Kwanten|Amber Valletta|Donnie Wahlberg|Bob Gunton|Laura Regan,133212|38425|2680|4029|73836,20000000.0,22382047.0,89,5.1941,6.448,2426,7.482459892576803,7.531329711260161,0.02083767451552407,0.007653671425704798,30371056.0,33988321.0,-19161027.0,-0.36051292670608115,1.119,7.9982970789894035,Rising,Low,Flop,Off-season,0.75,15000000.0
112336,Hitchcock,2012-11-22,2012,11,Drama,Drama,Anthony Hopkins|Helen Mirren|Scarlett Johansson|Danny Huston|Toni Collette,4173|15735|1245|6413|3051,15700000.0,27039669.0,98,2.4306,6.556,1623,7.332956980659332,7.569058691774237,0.011877474473848716,0.009246728293893617,21525685.0,37073082.0,-596866.75,-0.015844639289561018,1.722,7.875903102457677,Unknown,Low,Flop,Holiday,0.75,11775000.0
14034,What's the Worst That Could Happen?,2001-05-31,2001,5,Action|Comedy|Crime,Action,Martin Lawrence|Danny DeVito|John Leguizamo|Glenne Headly|Carmen Ejogo,78029|518|5723|21104|37158,60000000.0,38400000.0,94,1.3711,5.461,323,8.027961894109565,7.8341418708930455,0.10418837257762034,0.013132327710172647,106650254.0,68256163.0,-102384243.4,-0.5999999974214782,0.64,8.216857204090466,A-list,Mid,Flop,Summer,0.6,36000000.0
14047,The Great Debaters,2007-12-25,2007,12,Drama,Drama,Denzel Whitaker|Denzel Washington|Nate Parker|Jurnee Smollett|Forest Whitaker,77278|5292|77277|59017|2178,15000000.0,30226144.0,126,3.3929,7.243,695,7.357521155968503,7.661812647690246,0.010418837257762034,0.010336605463844715,22778292.0,45899996.0,6037985.0,0.151472162305108,2.015,8.119685446660286,Established,Low,Break-even,Holiday,0.75,11250000.0
14113,Zoom,2006-08-11,2006,8,Family|Comedy|Adventure|Action|Science Fiction,Family,Tim Allen|Courteney Cox|Chevy Chase|Spencer Breslin|Kevin Zegers,12898|14405|54812|35654|7431,75600000.0,12506188.0,88,2.7961,5.31,633,8.072060473025406,7.290663637618074,0.1366951448218379,0.0042758092872112975,118048500.0,19528264.0,-169349336.0,-0.8966088938021237,0.165,8.187517325073253,A-list,Mid,Flop,Summer,0.6,45360000.0
505642,Black Panther: Wakanda Forever,2022-11-09,2022,11,Action|Adventure|Science Fiction,Action,Letitia Wright|Tenoch Huerta Mejía|Lupita Nyong'o|Danai Gurira|Winston Duke,1083010|87265|1267329|82104|1447932,250000000.0,859102154.0,162,11.326,7.008,7378,8.429546491912289,8.965651290978155,0.5001041883725776,0.29383892072417395,268872566.0,923956002.0,547534409.6,1.4545775817721132,3.436,8.13787014099411,Established,Mega,Hit,Holiday,0.4,100000000.0
